documento,nombre,telefono,fecha_hora_cita
1037456123,Luz Elena Restrepo Gómez,3114567890,2026-09-24 07:00
71298456,Jorge Iván Cardona Ruiz,3007891234,2026-09-24 07:20
43876521,Marta Cecilia Gallego Osorio,3159873456,2026-09-24 07:40
98456712,Hernán Darío Zuluaga Mejía,3187654321,2026-09-24 08:00
1128934567,Diana Patricia Loaiza Vélez,3201122334,2026-09-24 08:20
8734129,Wilson Andrés Tabares Cifuentes,3045566778,2026-09-24 08:40
1053798246,Sandra Milena Arroyave Correa,3112233445,2026-09-24 09:00
76543219,Gustavo Adolfo Henao Villa,3223344556,2026-09-24 09:20
1039871245,Beatriz Elena Marulanda Ospina,3134455667,2026-09-24 09:40
39456781,Carlos Mario Quintero Ríos,3195566778,2026-09-24 10:00
1029384756,Rocío del Pilar Echeverri Buitrago,8871234,2026-09-24 10:20
,Fabián Alberto Correa Londoño,3167788990,2026-09-24 10:40
1145623478,Nubia Esperanza Cano Restrepo,3178899001,2026-09-24 11:00
52341678,Rubén Darío Peláez Aguirre,3209900112,2026-09-24 11:20
