cedula,nombre_completo,eps,telefono,email,fecha_nacimiento,genero,direccion
2455707906,Juan Carlos Pérez Gutiérrez,Salud Total,+57 344 246 1083,juan.perez99@outlook.com,,M,
1733956661,Mauricio Ocampo Sánchez,Salud Total,,,1985-10-13,M,Carrera 42 # 47-87
47711487,Valentina Bedoya Vargas,Salud Total,+57 375 869 3780,valentina.bedoya43@yahoo.com,1989-08-04,F,
7312837707,Alejandra Marín Cardona,Salud Total,+57 389 060 3159,alejandra.marin28@outlook.com,2021-04-10,,Diagonal 82E # 55-42
53393166,Camila Gutiérrez López,Salud Total,+57 364 453 6131,,1985-01-03,F,Diagonal 23 # 9-36
13536710,Miguel Ángel Bedoya Ruiz,Salud Total,+57 353 477 1690,miguel.bedoya79@hotmail.com,1956-05-25,M,Diagonal 38 # 38-22 Apto 456
91597236,Alejandra Ocampo Martínez,Salud Total,+57 379 480 6081,,1983-07-25,F,Calle 54 # 82-15 Apto 382
6238171533,Ricardo Ramírez Hernández,Salud Total,+57 388 318 6911,ricardo.ramirez34@yahoo.com,1946-05-15,,Carrera 62 # 77-43
27814371,Andrés Felipe López Gómez,Salud Total,+57 362 748 4586,,2017-03-12,M,Calle 53 # 27-99
2598958444,Sebastián Gutiérrez Cardona,Salud Total,+57 368 055 0636,,1973-05-01,M,Transversal 15 # 72-65 Apto 491
3632741090,Jhon Fredy Arango Salazar,Salud Total,,jhon.arango20@hotmail.com,,M,
64487187,María Fernanda López Rojas,Salud Total,+57 327 960 9372,maria.lopez37@hotmail.com,2005-01-27,F,Avenida 49B # 64-62
25622452,Paola Andrea Sánchez Cifuentes,Salud Total,+57 332 068 7956,,,F,Transversal 57 # 39-56
4065798710,Andrés Felipe Salazar Bedoya,Salud Total,+57 339 284 7034,,2022-06-18,M,Carrera 59B # 16-86
11739394,Marcela Valencia Moreno,Salud Total,+57 335 887 7777,marcela.valencia12@gmail.com,1967-01-20,F,
80687897,Natalia Sánchez Ruiz,Salud Total,+57 318 159 3651,,2015-08-01,F,Carrera 59 # 44-98
9864811626,Miguel Ángel Hernández Moreno,Salud Total,+57 387 453 7125,miguel.hernandez86@gmail.com,,M,Diagonal 3 # 86-29
49207546,Sofía Cifuentes Pérez,Salud Total,,sofia.cifuentes58@hotmail.com,,F,Transversal 31B # 58-62 Apto 230
7539628017,Valentina Ocampo Restrepo,Salud Total,+57 343 453 4603,valentina.ocampo18@yahoo.com,,F,Diagonal 81 # 63-24
9134248877,Paola Andrea Rojas Torres,Salud Total,+57 368 598 1202,paola.rojas78@gmail.com,1988-09-22,F,Diagonal 30 # 18-36
1605393556,Camilo Gutiérrez Osorio,Salud Total,+57 321 362 8546,camilo.gutierrez36@yahoo.com,1960-10-22,M,Diagonal 60B # 48-33
65015624,Luis Fernando Rojas Zapata,Salud Total,+57 316 544 2768,,1984-10-12,M,
3949537697,Ana Milena Gutiérrez Gutiérrez,Salud Total,+57 370 742 6995,,,,Transversal 12 # 1-29
52512220,Diana Marcela García Gómez,Salud Total,+57 384 037 9019,diana.garcia13@outlook.com,,,Diagonal 68 # 11-47 Apto 159
24052599,Jorge Iván González Moreno,Salud Total,+57 399 173 3477,,1963-08-27,M,Calle 6 # 83-90
1414436368,Miguel Ángel Correa Salazar,Salud Total,+57 394 768 7889,miguel.correa61@gmail.com,1971-03-06,M,Calle 6 # 68-43
19707880,Sandra Milena Martínez Vargas,Salud Total,+57 330 839 7010,sandra.martinez76@gmail.com,1984-03-10,F,Avenida 83 # 28-14 Apto 295
