cedula,nombre_completo,eps,telefono,email,fecha_nacimiento,genero,direccion
7421726771,Carolina Díaz Vargas,Sura,+57 355 182 3347,carolina.diaz47@yahoo.com,1959-08-11,F,Transversal 6 # 77-53
67245772,Marcela Moreno Cardona,Sura,+57 315 457 7755,marcela.moreno90@yahoo.com,2008-01-26,F,
63694639,Luis Fernando Gómez López,Sura,+57 393 106 6940,luis.gomez61@yahoo.com,1955-02-11,M,Calle 22 # 78-36
58662826,Andrés Felipe Osorio Cardona,Sura,+57 371 488 6071,andres.osorio75@hotmail.com,2002-08-03,M,
10923519,Diego Alejandro Castro Osorio,Sura,+57 371 360 9027,,1986-03-03,M,Calle 12F # 23-25 Apto 242
81271049,Jorge Iván Torres Vargas,Sura,+57 383 967 1110,jorge.torres97@yahoo.com,1986-08-24,M,Carrera 64 # 25-94 Apto 519
8417135021,Mauricio Rodríguez Ocampo,Sura,+57 393 642 2171,mauricio.rodriguez42@yahoo.com,1975-05-03,M,Calle 4 # 2-88
8677334847,Carolina Marín Valencia,Sura,+57 387 241 1632,carolina.marin90@outlook.com,1938-12-21,F,Diagonal 21F # 43-76
77216225,Diego Alejandro Salazar Ocampo,Sura,+57 370 006 6684,diego.salazar50@outlook.com,,M,Calle 4 # 64-75
86859497,Camila Hernández Valencia,Sura,+57 383 254 5068,,1979-07-03,F,Avenida 67 # 55-70
78241993,Luisa Fernanda Muñoz Gómez,Sura,+57 384 020 2406,luisa.munoz12@outlook.com,1996-04-22,F,
44049668,Alejandra Hernández Moreno,Sura,+57 343 395 1095,alejandra.hernandez15@yahoo.com,1973-10-15,F,Transversal 85 # 7-50
86478778,Rocío del Pilar Rodríguez Cardona,Sura,+57 351 840 2262,rocio.rodriguez91@gmail.com,,F,Carrera 58C # 73-82
8749671571,Jorge Iván Grisales López,Sura,+57 384 227 9473,jorge.grisales23@gmail.com,1953-03-16,M,Carrera 18 # 35-12
48036522,Martha Cecilia Ruiz González,Sura,+57 393 925 2390,,1964-03-26,F,
52673244,Sandra Milena Valencia Betancur,Sura,+57 393 887 6236,sandra.valencia82@hotmail.com,1982-10-18,F,
89954536,Claudia Patricia Vargas Ramírez,Sura,+57 357 081 1953,,1959-12-07,F,Calle 82 # 53-14
2584595829,Claudia Patricia Ortiz Ruiz,Sura,+57 335 223 0965,claudia.ortiz56@outlook.com,1998-07-09,,Carrera 59F # 55-62
5957936510,Ana Milena Zuluaga Moreno,Sura,+57 357 910 1408,ana.zuluaga55@gmail.com,,F,Transversal 81 # 15-54
5656159619,Juan Carlos Valencia Martínez,Sura,+57 374 342 7777,,2006-10-24,M,Carrera 2 # 28-42
55031274,Julián González Rojas,Sura,,,1964-07-28,M,Transversal 82 # 13-54
36078999,Miguel Ángel Ocampo Martínez,Sura,+57 313 883 0185,,1976-05-22,M,Diagonal 7 # 86-44 Apto 263
95253351,Nicolás Jiménez Castro,Sura,+57 355 913 6934,,2020-02-14,M,
1628777575,Camilo Cifuentes Ocampo,Sura,+57 378 141 6374,camilo.cifuentes49@hotmail.com,1967-10-20,M,Transversal 33B # 28-93
68205489,Diana Marcela Rodríguez Rodríguez,Sura,+57 344 469 3894,diana.rodriguez78@hotmail.com,1965-06-06,F,Calle 1F # 45-20 Apto 316
22575668,Hernán Darío Gómez Rojas,Sura,+57 353 852 1053,,2020-01-27,M,Diagonal 40F # 4-90
77493797,Sandra Milena Betancur Arango,Sura,+57 371 683 1839,sandra.betancur64@yahoo.com,1945-02-02,F,Avenida 83 # 40-79 Apto 398
9475576924,Gustavo Adolfo Zuluaga Sánchez,Sura,+57 338 192 9650,gustavo.zuluaga76@outlook.com,1981-05-25,M,Carrera 25 # 47-82
71754568,Ricardo Zapata Restrepo,Sura,,,1956-04-03,M,Diagonal 49 # 55-93
5211805586,Ricardo García Rojas,Sura,,ricardo.garcia27@yahoo.com,2019-01-21,M,Diagonal 15 # 45-70 Apto 158
1464674520,Luisa Fernanda Restrepo Muñoz,Sura,+57 345 970 4957,luisa.restrepo36@hotmail.com,,F,Transversal 72E # 64-65 Apto 161
15427604,Patricia Henao Ortiz,Sura,,patricia.henao55@outlook.com,1953-08-01,F,Transversal 11 # 63-81 Apto 588
3838338323,Luisa Fernanda Vargas Valencia,Sura,+57 350 170 5002,luisa.vargas28@gmail.com,,F,Carrera 44C # 15-38
33228654,Camila Zapata Castro,Sura,,,,F,Calle 33D # 32-36
9167337368,Juan Carlos Jiménez Giraldo,Sura,+57 389 139 7511,,2019-05-24,M,Transversal 34 # 52-81
89166525,Nicolás Osorio Rodríguez,Sura,+57 393 298 4682,nicolas.osorio56@gmail.com,,M,Avenida 51 # 50-58 Apto 370
39526332,Marcela Hernández Zuluaga,Sura,+57 346 575 3508,marcela.hernandez47@hotmail.com,1985-04-26,F,Avenida 42 # 69-53
96581481,Juan Carlos Torres Betancur,Sura,+57 330 822 0537,,1936-05-24,M,Transversal 42B # 69-71
51277690,Nicolás Sánchez Martínez,Sura,+57 387 806 6004,nicolas.sanchez45@outlook.com,,M,Carrera 59E # 71-58 Apto 486
6521783972,Diego Alejandro Cardona Díaz,Sura,,diego.cardona10@yahoo.com,1935-05-02,M,
9209800729,Paola Andrea Zapata Restrepo,Sura,,paola.zapata63@outlook.com,,,Diagonal 46 # 19-72
9021040825,Carlos Alberto Ruiz Betancur,Sura,+57 360 288 4598,carlos.ruiz86@hotmail.com,1985-10-14,M,Calle 20 # 51-37
4386430379,Miguel Ángel Díaz Rodríguez,Sura,+57 347 153 6068,miguel.diaz50@outlook.com,1939-06-12,M,
86490278,Julián Gómez Giraldo,Sura,+57 339 405 6283,,1984-01-27,M,Avenida 78F # 42-96
71677994,Gloria Inés Ramírez Gómez,Sura,+57 378 845 5720,,1989-03-10,F,Transversal 28 # 81-10
91090865,Gloria Inés López Gómez,Sura,,gloria.lopez39@outlook.com,2006-06-20,F,Transversal 90B # 62-86 Apto 395
27358060,Daniela Díaz Vargas,Sura,,daniela.diaz75@hotmail.com,2009-11-19,F,Carrera 61 # 20-57
2890059901,Valentina Ocampo Ramírez,Sura,+57 370 883 8600,,,F,Transversal 70 # 9-79
60689076,Óscar Iván Moreno Rojas,Sura,+57 380 881 1563,oscar.moreno36@yahoo.com,2011-10-07,M,Calle 37 # 32-50
37846462,Patricia Sánchez Grisales,Sura,+57 331 602 2421,,1983-07-20,F,
84795660,Juan Carlos Salazar Zuluaga,Sura,+57 370 180 0323,juan.salazar60@outlook.com,1939-09-09,M,Carrera 48 # 32-39
7109388331,Gloria Inés Henao Martínez,Sura,+57 327 264 5966,gloria.henao76@outlook.com,2020-06-07,,Diagonal 9 # 4-72
8770316941,Marcela Bedoya Cardona,Sura,+57 389 247 7932,marcela.bedoya14@gmail.com,2021-11-01,F,Transversal 28 # 89-19
15389114,Wilson Ortiz Henao,Sura,,,,M,Avenida 6B # 27-72
44035194,Miguel Ángel Ocampo Cifuentes,Sura,+57 345 075 8623,miguel.ocampo90@outlook.com,2002-12-22,,
93055272,Ana Milena Valencia Arango,Sura,+57 331 057 6324,,2001-05-13,F,Diagonal 64 # 55-4 Apto 224
70672041,Wilson Henao Cifuentes,Sura,+57 357 932 8453,wilson.henao76@outlook.com,2009-11-05,M,Calle 6E # 32-8
81537104,Julián Salazar Jiménez,Sura,+57 363 163 6512,,1939-06-15,M,Transversal 47 # 20-71 Apto 364
8855804715,Sebastián Martínez Valencia,Sura,,,1969-03-01,M,Transversal 74A # 44-90
